,Date,Close,signal,S_Return,trade_num,Return,Signal_backtest,units_equity,equity_allocation,cash_allocation,Strategy_Return,Market_Return
0,2012-01-31,27.06599998474121,1,,0,0.0,1,90194.33981291128,2441200.0,0.0,2441200.0,2441200.0
1,2012-02-01,27.122499465942383,1,0.0020852949333419186,0,0.0020852949333419186,1,90194.33981291128,2446295.933406712,0.0,2446295.933406712,2446295.933406712
2,2012-02-02,27.009000778198242,1,-0.004193449416891671,0,-0.004193449416891671,1,90194.33981291128,2436058.9941959972,0.0,2436058.9941959972,2436058.9941959972
3,2012-02-03,27.066499710083008,1,0.0021266175268093187,0,0.0021266175268093187,1,90194.33981291128,2441245.072397291,0.0,2441245.072397291,2441245.072397291
4,2012-02-06,26.574499130249023,1,-0.018344713487025766,0,-0.018344713487025766,1,90194.33981291128,2396869.4049115954,0.0,2396869.4049115954,2396869.4049115954
5,2012-02-07,26.636999130249023,1,0.002349117419526327,0,0.002349117419526327,1,90194.33981291128,2402506.5511499024,0.0,2402506.5511499024,2402506.5511499024
6,2012-02-08,26.996999740600586,1,0.013424545045155755,0,0.013424545045155755,1,90194.33981291128,2434976.568532807,0.0,2434976.568532807,2434976.568532807
7,2012-02-09,26.921499252319336,1,-0.002800543006112927,0,-0.002800543006112927,1,90194.33981291128,2428166.851836727,0.0,2428166.851836727,2428166.851836727
8,2012-02-10,26.840499877929688,1,-0.0030132598113079122,0,-0.0030132598113079122,1,90194.33981291128,2420861.1667383937,0.0,2420861.1667383937,2420861.1667383937
9,2012-02-13,26.72949981689453,1,-0.004144118742745964,0,-0.004144118742745964,1,90194.33981291128,2410849.589514135,0.0,2410849.589514135,2410849.589514135
10,2012-02-14,26.648500442504883,1,-0.0030349370965086987,0,-0.0030349370965086987,1,90194.33981291128,2403543.904415802,0.0,2403543.904415802,2403543.904415802
11,2012-02-15,26.83049964904785,1,0.006806406584137555,0,0.006806406584137555,1,90194.33981291128,2419959.202696419,0.0,2419959.202696419,2419959.202696419
12,2012-02-16,26.808000564575195,1,-0.000838915543968661,0,-0.000838915543968661,1,90194.33981291128,2417929.9126260127,0.0,2417929.9126260127,2417929.9126260127
13,2012-02-17,26.811500549316406,1,0.0001305489485531763,0,0.0001305489485531763,1,90194.33981291128,2418245.5914391014,0.0,2418245.5914391014,2418245.5914391014
14,2012-02-21,26.905000686645508,1,0.0034812480189800104,0,0.0034812480189800104,1,90194.33981291128,2426678.7745979163,0.0,2426678.7745979163,2426678.7745979163
15,2012-02-22,27.18572998046875,1,0.010380034100373602,0,0.010380034100373602,1,90194.33981291128,2451998.967920448,0.0,2451998.967920448,2451998.967920448
16,2012-02-23,27.519500732421875,1,0.012202668347222842,0,0.012202668347222842,1,90194.33981291128,2482103.2005417193,0.0,2482103.2005417193,2482103.2005417193
17,2012-02-24,27.45146942138672,1,-0.0024751735535149225,0,-0.0024751735535149225,1,90194.33981291128,2475967.1613562964,0.0,2475967.1613562964,2475967.1613562964
18,2012-02-27,27.232789993286133,1,-0.007997935644680876,0,-0.007997935644680876,1,90194.33981291128,2456243.5147080994,0.0,2456243.5147080994,2456243.5147080994
19,2012-02-28,27.433380126953125,1,0.007338763022820697,0,0.007338763022820697,1,90194.33981291128,2474335.609387177,0.0,2474335.609387177,2474335.609387177
20,2012-02-29,27.525360107421875,1,0.003347240710222829,0,0.003347240710222829,1,90194.33981291128,2482631.6830015606,0.0,2482631.6830015606,2482631.6830015606
21,2012-03-01,26.603349685668945,1,-0.03407062955288723,0,-0.03407062955288723,1,90194.33981291128,2399471.5617109314,0.0,2399471.5617109314,2399471.5617109314
22,2012-03-02,26.606809616088867,1,0.00013004773788318264,0,0.00013004773788318264,1,90194.33981291128,2399783.627850955,0.0,2399783.627850955,2399783.627850955
23,2012-03-05,26.580829620361328,1,-0.0009769186287157177,0,-0.0009769186287157177,1,90194.33981291128,2397440.379287967,0.0,2397440.379287967,2397440.379287967
24,2012-03-06,26.504840850830078,1,-0.0028628750756063484,0,-0.0028628750756063484,1,90194.33981291128,2390586.6223869007,0.0,2390586.6223869007,2390586.6223869007
25,2012-03-07,26.73896026611328,1,0.008794297899969225,0,0.008794297899969225,1,90194.33981291128,2411702.868485754,0.0,2411702.868485754,2411702.868485754
26,2012-03-09,26.715280532836914,1,-0.000885981522566474,0,-0.000885981522566474,1,90194.33981291128,2409567.090575946,0.0,2409567.090575946,2409567.090575946
27,2012-03-12,26.766210556030273,1,0.0019045855884693218,0,0.0019045855884693218,1,90194.33981291128,2414160.6903945273,0.0,2414160.6903945273,2414160.6903945273
28,2012-03-13,26.54998016357422,1,-0.008111291338496928,0,-0.008111291338496928,1,90194.33981291128,2394657.9328994667,0.0,2394657.9328994667,2394657.9328994667
29,2012-03-14,26.06907081604004,1,-0.018279415128455365,0,-0.018279415128455365,1,90194.33981291128,2351282.6317887637,0.0,2351282.6317887637,2351282.6317887637
30,2012-03-15,25.991880416870117,0,-0.00296538783508664,0,-0.00296538783508664,0,0.0,0.0,2351842.4609868084,2351842.4609868084,2344320.4946957375
31,2012-03-16,26.07210922241211,0,0.0002380952380952381,0,0.0030819331980135507,0,0.0,0.0,2352402.4234775193,2352402.4234775193,2351556.6788455755
32,2012-03-19,26.572900772094727,0,0.0002380952380952381,0,0.019025797737020466,0,0.0,0.0,2352962.5192926326,2352962.5192926326,2396725.242053084
33,2012-03-20,26.550010681152344,0,0.0002380952380952381,0,-0.000861778533323146,0,0.0,0.0,2353522.7484638924,2353522.7484638924,2394660.6854122784
34,2012-03-21,26.841060638427734,0,0.0002380952380952381,0,0.010902678411565092,0,0.0,0.0,2354083.1110230503,2354083.1110230503,2420911.7441613083
35,2012-03-22,26.67462921142578,0,0.0002380952380952381,0,-0.00621993153922575,0,0.0,0.0,2354643.6070018653,2354643.6070018653,2405900.5714787464
36,2012-03-23,26.916770935058594,0,0.0002380952380952381,0,0.009036650311964219,0,0.0,0.0,2355204.2364321034,2355204.2364321034,2427740.3843829683
37,2012-03-26,27.232629776000977,0,0.0002380952380952381,0,0.011666331270104132,0,0.0,0.0,2355764.9993455396,2355764.9993455396,2456229.064015838
38,2012-03-27,27.611459732055664,0,0.0002380952380952381,0,0.013815015785858946,0,0.0,0.0,2356325.895773955,2356325.895773955,2490397.3818035447
39,2012-03-28,27.340160369873047,0,0.0002380952380952381,0,-0.009874197193019081,0,0.0,0.0,2356886.9257491394,2356886.9257491394,2465927.7149398196
40,2012-03-29,27.11054039001465,0,0.0002380952380952381,0,-0.008434100490985365,0,0.0,0.0,2357448.089302889,2357448.089302889,2445217.2924486375
41,2012-03-30,27.197479248046875,0,0.0002380952380952381,0,0.0032016977558081416,0,0.0,0.0,2358009.3864670084,2358009.3864670084,2453058.6853529424
42,2012-04-02,27.29254913330078,0,0.0002380952380952381,0,0.003489445116621416,0,0.0,0.0,2358570.81727331,2358570.81727331,2461633.450889508
43,2012-04-03,27.17007064819336,0,0.0002380952380952381,0,-0.004497715757024128,0,0.0,0.0,2359132.381753613,2359132.381753613,2450586.5847839583
44,2012-04-04,26.745420455932617,0,0.0002380952380952381,0,-0.01575276288590451,0,0.0,0.0,2359694.0799397444,2359694.0799397444,2412285.541041575
45,2012-04-09,26.711639404296875,0,0.0002380952380952381,0,-0.0012638576165882218,0,0.0,0.0,2360255.9118635394,2360255.9118635394,2409238.681391103
46,2012-04-10,27.00741958618164,0,0.0002380952380952381,0,0.01101222458174297,0,0.0,0.0,2360817.87755684,2360817.87755684,2435916.3796259426
47,2012-04-11,27.34061050415039,0,0.0002380952380952381,0,0.01226153337575518,0,0.0,0.0,2361379.977051496,2361379.977051496,2465968.3145037917
48,2012-04-12,27.310319900512695,0,0.0002380952380952381,0,-0.0011085120240465313,0,0.0,0.0,2361942.2103793654,2361942.2103793654,2463236.2735061552
49,2012-04-13,27.53282928466797,0,0.0002380952380952381,0,0.008114435745214362,0,0.0,0.0,2362504.5775723127,2362504.5775723127,2483305.3605122175
50,2012-04-16,27.302780151367188,0,0.0002380952380952381,0,-0.008390550786706115,0,0.0,0.0,2363067.0786622106,2363067.0786622106,2462556.230809621
51,2012-04-17,27.350929260253906,0,0.0002380952380952381,0,0.0017619708474251585,0,0.0,0.0,2363629.7136809393,2363629.7136809393,2466899.007898239
52,2012-04-18,27.201509475708008,0,0.0002380952380952381,0,-0.005478037707137633,0,0.0,0.0,2364192.4826603867,2364192.4826603867,2453422.189076134
53,2012-04-19,27.325550079345703,0,0.0002380952380952381,0,0.004549697659006468,0,0.0,0.0,2364755.3856324484,2364755.3856324484,2464609.9494312312
54,2012-04-20,27.346500396728516,0,0.0002380952380952381,0,0.0007663995853764888,0,0.0,0.0,2365318.422629027,2365318.422629027,2466499.5494764447
55,2012-04-23,27.33197021484375,0,0.0002380952380952381,0,-0.0005314772730207691,0,0.0,0.0,2365881.593682034,2365881.593682034,2465189.0093139866
56,2012-04-24,27.720470428466797,0,0.0002380952380952381,0,0.014114057737670873,0,0.0,0.0,2366444.8988233865,2366444.8988233865,2500229.5295988927
57,2012-04-25,27.6064395904541,0,0.0002380952380952381,0,-0.004122080898320617,0,0.0,0.0,2367008.338085011,2367008.338085011,2489944.593446024
58,2012-04-26,27.75918960571289,0,0.0002380952380952381,0,0.0055178783314144084,0,0.0,0.0,2367571.911498841,2367571.911498841,2503721.780228703
59,2012-04-27,27.908510208129883,0,0.0002380952380952381,0,0.005364725362829853,0,0.0,0.0,2368135.6190968165,2368135.6190968165,2517189.65338417
60,2012-04-30,27.960620880126953,0,0.0002380952380952381,0,0.0018654554346482324,0,0.0,0.0,2368699.460910887,2368699.460910887,2521889.741042153
61,2012-05-02,28.03873062133789,0,0.0002380952380952381,0,0.0027896677290863707,0,0.0,0.0,2369263.4369730083,2369263.4369730083,2528934.797583631
62,2012-05-03,28.03148078918457,0,0.0002380952380952381,0,-0.00025859835414718165,0,0.0,0.0,2369827.5473151444,2369827.5473151444,2528280.9037588076
63,2012-05-04,28.048660278320312,0,0.0002380952380952381,0,0.0006126764072313792,0,0.0,0.0,2370391.7919692667,2370391.7919692667,2529830.396439729
64,2012-05-07,27.856950759887695,0,0.0002380952380952381,0,-0.0068583552286003635,0,0.0,0.0,2370956.1709673544,2370956.1709673544,2512539.2829888477
65,2012-05-08,27.573450088500977,0,0.0002380952380952381,0,-0.010229157251852168,0,0.0,0.0,2371520.684341394,2371520.684341394,2486969.1270966055
66,2012-05-09,27.196380615234375,0,0.0002380952380952381,0,-0.013769457602348116,0,0.0,0.0,2372085.3321233797,2372085.3321233797,2452959.5948917223
67,2012-05-10,27.20953941345215,0,0.0002380952380952381,0,0.00048372671457148816,0,0.0,0.0,2372650.1143453135,2372650.1143453135,2454146.4440097054
68,2012-05-11,27.20479965209961,0,0.0002380952380952381,0,-0.00017421001323992622,0,0.0,0.0,2373215.031039205,2373215.031039205,2453718.9443636425
69,2012-05-14,26.945810317993164,0,0.0002380952380952381,0,-0.00956559156219448,0,0.0,0.0,2373780.0822370714,2373780.0822370714,2430359.5723553263
70,2012-05-15,26.94055938720703,0,0.0002380952380952381,0,-0.0001948890167022974,0,0.0,0.0,2374345.2679709373,2374345.2679709373,2429885.968119668
71,2012-05-16,26.728120803833008,0,0.0002380952380952381,0,-0.007916710161430543,0,0.0,0.0,2374910.588272835,2374910.588272835,2410725.2103414577
72,2012-05-17,26.929729461669922,0,0.0002380952380952381,0,0.007514635997195463,0,0.0,0.0,2375476.0431748047,2375476.0431748047,2428909.170135625
73,2012-05-18,27.8464298248291,0,0.0002380952380952381,0,0.03347390436177319,0,0.0,0.0,2376041.6327088936,2376041.6327088936,2511590.3541970234
74,2012-05-21,27.78731918334961,0,0.0002380952380952381,0,-0.002124993004304369,0,0.0,0.0,2376607.356907157,2376607.356907157,2506258.908912863
75,2012-05-22,27.64253044128418,0,0.0002380952380952381,0,-0.005224227464094161,0,0.0,0.0,2377173.2158016586,2377173.2158016586,2493199.7839099295
76,2012-05-23,27.790910720825195,0,0.0002380952380952381,0,0.005353470064543087,0,0.0,0.0,2377739.209424468,2377739.209424468,2506582.845264387
77,2012-05-24,28.01984977722168,0,0.0002380952380952381,0,0.008204164877070734,0,0.0,0.0,2378305.337807664,2378305.337807664,2527231.8523134585
78,2012-05-25,27.84246063232422,0,0.0002380952380952381,0,-0.00635096328246702,0,0.0,0.0,2378871.6009833324,2378871.6009833324,2511232.3554994552
79,2012-05-28,27.931520462036133,0,0.0002380952380952381,0,0.003193600444453942,0,0.0,0.0,2379437.998983566,2379437.998983566,2519265.0480441716
80,2012-05-29,27.996540069580078,0,0.0002380952380952381,0,0.0023251168096355412,0,0.0,0.0,2380004.531840467,2380004.531840467,2525129.4486214924
